"","st_louis_fed","censusyear","county","industrycode","total_output_value"
"541",1,1931,"Noxubee","111",430013
"542",0,1931,"Hinds","1676",48782
"543",0,1931,"Hancock","136",8000
"544",0,1931,"Greene","317",15770
"545",0,1931,"Hinds","1677",16125
"546",1,1931,"Montgomery","1677",7500
"547",0,1931,"Greene","119",5500
"548",1,1929,"Choctaw","101",36147
"549",1,1931,"Choctaw","101",17275
"550",0,1929,"Madison","118",20000
"551",0,1931,"Madison","118",10000
"552",0,1931,"Neshoba","1677",6026
"553",1,1929,"Grenada","119",28000
"554",1,1931,"Grenada","119",32325
"555",0,1929,"Jones","119",32259
"556",1,1931,"Lee","103",56588
"557",0,1929,"Wilkinson","101",26591
"558",0,1931,"Wilkinson","101",16284
"559",1,1929,"Yalobusha","107",164546
"560",1,1931,"Yalobusha","107",65957
"561",0,1929,"Copiah","304",25000
"562",1,1931,"Yalobusha","118",6821
"563",0,1931,"Pike","1676",48478
"564",1,1931,"Leflore","1676",46698
"565",1,1931,"Washington","1502",5477
"566",0,1931,"Harrison","1677",51151
"567",0,1929,"Yazoo","136",43755
"568",0,1931,"Yazoo","136",27825
"569",0,1931,"Lauderdale","1676",41327
"570",1,1929,"Lee","622",352722
"571",1,1931,"Lee","622",232188
"572",0,1929,"Hinds","1005",72325
"573",0,1931,"Adams","118",5700
"574",0,1931,"Warren","128",7800
"575",1,1929,"Noxubee","111",307817
"576",1,1931,"Oktibbeha","111",941443
"577",0,1931,"Lauderdale","1676",86935
"578",0,1931,"Lamar","119",7866
"579",1,1931,"Tunica","119",11542
"580",0,1931,"Simpson","317",13700
"581",0,1929,"Newton","107",81196
"582",0,1931,"Newton","107",87420
"583",0,1931,"Forrest","1676",56698
"584",0,1931,"Harrison","1677",8000
"585",1,1929,"Holmes","103",54917
"586",1,1931,"Holmes","103",32586
"587",0,1929,"Hinds","203",22000
"588",0,1931,"Hinds","203",9700
"589",1,1929,"Chickasaw","119",40000
"590",1,1931,"Chickasaw","119",10000
"591",1,1929,"Lowndes","622",400829
"592",1,1931,"Lowndes","622",276747
"593",0,1929,"Lauderdale","118",37200
"594",0,1931,"Lauderdale","118",24898
"595",1,1931,"Chickasaw","1677",5831
"596",0,1931,"Adams","110",8500
"597",1,1929,"Lee","111",809857
"598",1,1931,"Lee","111",557267
"599",0,1931,"Wayne","317",9650
"600",0,1931,"Jones","1502",92271
"601",0,1931,"Scott","119",5512
"602",0,1931,"Forrest","119",75000
"603",0,1931,"Hinds","622",1744127
"604",0,1931,"Forrest","520",17231
"605",1,1929,"Coahoma","101",30213
"606",1,1931,"Coahoma","101",5919
"607",0,1929,"Lincoln","118",22025
"608",0,1931,"Lincoln","118",13200
"609",0,1929,"Forrest","622",164809
"610",0,1931,"Forrest","622",226888
"611",0,1931,"Wayne","317",8300
"612",1,1931,"Montgomery","103",83311
"613",1,1931,"Oktibbeha","1677",7200
"614",0,1931,"Forrest","118",13983
"615",0,1931,"Hinds","110",50000
"616",1,1929,"Chickasaw","107",166065
"617",1,1931,"Chickasaw","107",61585
"618",0,1931,"Hinds","1677",7311
"619",0,1931,"Wayne","119",6006
"620",0,1931,"Hinds","1640",6009
"621",1,1931,"Clay","1677",7834
"622",1,1929,"Washington","622",876996
"623",1,1931,"Washington","622",483383
"624",0,1929,"Harrison","136",44054
"625",0,1931,"Warren","136",13839
"626",1,1929,"Bolivar","136",40000
"627",1,1931,"Bolivar","136",11700
"628",1,1929,"Oktibbeha","103",421405
"629",1,1931,"Oktibbeha","103",338302
"630",0,1931,"Lincoln","1677",5500
"631",0,1931,"Jones","119",11917
"632",0,1931,"Lauderdale","234a",55000
"633",0,1931,"Lauderdale","101",18756
"634",1,1931,"Lowndes","107",63309
"635",1,1929,"Bolivar","119",10000
"636",1,1931,"Bolivar","119",7970
"637",0,1931,"Jackson","104",40944
"638",1,1931,"Bolivar","1677",6172
"639",0,1931,"Hinds","110",52115
"640",0,1931,"Yazoo","101",8766
"641",1,1931,"Clay","118",19815
"642",0,1931,"Pearl River","317",22381
"643",0,1931,"Hinds","1502",82676
"644",0,1931,"Warren","1502",638299
"645",1,1931,"Washington","110",28500
"646",1,1931,"Washington","1677",9544
"647",1,1931,"Lafayette","1677",5020
"648",1,1929,"Alcorn","107",53578
"649",1,1931,"Alcorn","107",91909
"650",0,1931,"Forrest","1502",81259
"651",1,1931,"Lee","119",5550
"652",1,1931,"Alcorn","105",44973
"653",1,1929,"Coahoma","119",11959
"654",1,1931,"Coahoma","119",6475
"655",0,1931,"Jackson","317",14400
"656",0,1931,"Hinds","119",6000
"657",0,1931,"Pike","116",18026
"658",1,1931,"Lee","210B",98800
"659",0,1929,"Hinds","136",79163
"660",0,1931,"Hinds","136",80000
"661",0,1931,"Forrest","1677",6157
"662",0,1929,"Adams","101",27065
"663",0,1931,"Adams","101",13400
"664",0,1929,"Harrison","118",50330
"665",0,1931,"Harrison","118",45720
"666",0,1931,"Forrest","101",20419
"667",0,1931,"Lauderdale","1676",30000
"668",1,1929,"Washington","118",35800
"669",1,1931,"Washington","118",22000
"670",1,1929,"Alcorn","119",31222
"671",1,1931,"Alcorn","119",19604
"672",0,1931,"Pike","110",22674
"673",1,1929,"Panola","119",9000
"674",1,1931,"Panola","119",7055
"675",0,1931,"Hinds","1502",221417
"676",0,1931,"Jones","1676",48663
"677",0,1931,"Pearl River","317",65935
"678",0,1931,"Forrest","110",15883
"679",0,1929,"Hinds","118",162573
"680",0,1931,"Hinds","118",100299
"681",0,1931,"Lauderdale","614",28122
"682",0,1931,"Hinds","1676",88000
"683",1,1931,"Oktibbeha","136",7578
"684",0,1929,"Jefferson Davis","119",8600
"685",0,1931,"Jefferson Davis","119",5355
"686",0,1931,"Harrison","614",92945
"687",0,1931,"Hinds","1677",20000
"688",1,1931,"Washington","1676",41149
"689",1,1931,"Yalobusha","1677",5061
"690",0,1931,"Yazoo","1677",5013
"691",1,1929,"Alcorn","118",95087
"692",1,1931,"Alcorn","118",20747
"693",1,1931,"Alcorn","101",10020
"694",1,1929,"Montgomery","107",115434
"695",1,1931,"Montgomery","107",47165
"696",0,1931,"Lauderdale","234a",133901
"697",1,1929,"Winston","107",51562
"698",1,1931,"Winston","107",6714
"699",1,1931,"Union","1502",36586
"700",1,1931,"Alcorn","1676",16407
"701",0,1931,"Harrison","101",6578
"702",0,1929,"Lauderdale","136",45216
"703",0,1931,"Lauderdale","136",19587
"704",0,1931,"Hinds","1677",7274
"705",0,1929,"Claiborne","136",9000
"706",0,1931,"Hinds","1677",14660
"707",0,1931,"Newton","119",7500
"708",1,1931,"Washington","1676",21707
"709",0,1931,"Harrison","104",97306
"710",1,1929,"Oktibbeha","119",89817
"711",1,1931,"Oktibbeha","119",12815
"712",1,1931,"Coahoma","101",11055
"713",1,1931,"Washington","1677",6500
"714",0,1929,"Harrison","104",103545
"715",0,1931,"Harrison","104",36150
"716",1,1931,"Washington","136",39435
